month,skill,job_count,total_jobs,demand_percentage
2026-01,Java,6,8,75.0
2026-01,SQL,6,8,75.0
2026-01,Spring Boot,5,8,62.5
2026-01,Docker,3,8,37.5
2026-01,REST API,3,8,37.5
2026-01,AWS,2,8,25.0
2026-01,PostgreSQL,2,8,25.0
2026-01,Python,2,8,25.0
2026-01,Excel,1,8,12.5
2026-01,Power BI,1,8,12.5
2026-02,JavaScript,5,13,38.46
2026-02,React,5,13,38.46
2026-02,AWS,4,13,30.77
2026-02,Node.js,4,13,30.77
2026-02,Python,4,13,30.77
2026-02,CSS,3,13,23.08
2026-02,Docker,3,13,23.08
2026-02,HTML,3,13,23.08
2026-02,PostgreSQL,3,13,23.08
2026-02,REST API,3,13,23.08
2026-02,SQL,3,13,23.08
2026-02,Java,2,13,15.38
2026-02,Spring Boot,2,13,15.38
2026-02,Excel,1,13,7.69
2026-02,Jenkins,1,13,7.69
2026-02,Kubernetes,1,13,7.69
2026-02,Linux,1,13,7.69
2026-02,Machine Learning,1,13,7.69
2026-02,Pandas,1,13,7.69
2026-02,Tailwind CSS,1,13,7.69
2026-02,TypeScript,1,13,7.69
2026-03,Git,19,39,48.72
2026-03,AWS,16,39,41.03
2026-03,Docker,12,39,30.77
2026-03,Python,12,39,30.77
2026-03,SQL,12,39,30.77
2026-03,PostgreSQL,11,39,28.21
2026-03,Java,10,39,25.64
2026-03,Node.js,9,39,23.08
2026-03,React,9,39,23.08
2026-03,JavaScript,8,39,20.51
2026-03,Linux,8,39,20.51
2026-03,Spring Boot,8,39,20.51
2026-03,CSS,6,39,15.38
2026-03,HTML,6,39,15.38
2026-03,Pandas,6,39,15.38
2026-03,Jenkins,5,39,12.82
2026-03,Kubernetes,5,39,12.82
2026-03,Data Analysis,4,39,10.26
2026-03,TypeScript,4,39,10.26
2026-03,Angular,3,39,7.69
2026-03,Azure,3,39,7.69
2026-03,CI/CD,3,39,7.69
2026-03,Data Visualization,3,39,7.69
2026-03,Excel,3,39,7.69
2026-03,NumPy,3,39,7.69
2026-03,PowerShell,3,39,7.69
2026-03,REST API,3,39,7.69
2026-03,Express.js,2,39,5.13
2026-03,Machine Learning,2,39,5.13
2026-03,Tailwind CSS,2,39,5.13
2026-03,Deep Learning,1,39,2.56
2026-03,FastAPI,1,39,2.56
2026-03,GCP,1,39,2.56
2026-03,GraphQL,1,39,2.56
2026-03,MongoDB,1,39,2.56
2026-03,Natural Language Processing,1,39,2.56
2026-03,Power BI,1,39,2.56
2026-03,Terraform,1,39,2.56
2026-04,Git,14,30,46.67
2026-04,Python,10,30,33.33
2026-04,AWS,8,30,26.67
2026-04,JavaScript,8,30,26.67
2026-04,Data Visualization,7,30,23.33
2026-04,Excel,7,30,23.33
2026-04,Java,7,30,23.33
2026-04,Pandas,7,30,23.33
2026-04,React,7,30,23.33
2026-04,SQL,7,30,23.33
2026-04,CSS,6,30,20.0
2026-04,Data Analysis,6,30,20.0
2026-04,HTML,6,30,20.0
2026-04,Linux,6,30,20.0
2026-04,Spring Boot,5,30,16.67
2026-04,Tailwind CSS,5,30,16.67
2026-04,Docker,4,30,13.33
2026-04,Kubernetes,4,30,13.33
2026-04,Node.js,4,30,13.33
2026-04,PostgreSQL,4,30,13.33
2026-04,Power BI,4,30,13.33
2026-04,CI/CD,3,30,10.0
2026-04,Jenkins,3,30,10.0
2026-04,NumPy,3,30,10.0
2026-04,REST API,3,30,10.0
2026-04,TypeScript,3,30,10.0
2026-04,Azure,2,30,6.67
2026-04,Machine Learning,2,30,6.67
2026-04,Express.js,1,30,3.33
2026-04,GraphQL,1,30,3.33
2026-04,MongoDB,1,30,3.33
2026-04,Natural Language Processing,1,30,3.33
2026-04,Terraform,1,30,3.33
2026-05,Git,14,30,46.67
2026-05,JavaScript,11,30,36.67
2026-05,AWS,10,30,33.33
2026-05,Docker,10,30,33.33
2026-05,React,9,30,30.0
2026-05,SQL,9,30,30.0
2026-05,Java,8,30,26.67
2026-05,Linux,8,30,26.67
2026-05,Kubernetes,7,30,23.33
2026-05,Node.js,7,30,23.33
2026-05,Python,7,30,23.33
2026-05,PostgreSQL,6,30,20.0
2026-05,Spring Boot,6,30,20.0
2026-05,CSS,5,30,16.67
2026-05,GraphQL,5,30,16.67
2026-05,HTML,5,30,16.67
2026-05,Azure,4,30,13.33
2026-05,CI/CD,4,30,13.33
2026-05,Jenkins,4,30,13.33
2026-05,Pandas,4,30,13.33
2026-05,REST API,4,30,13.33
2026-05,Tailwind CSS,4,30,13.33
2026-05,TypeScript,4,30,13.33
2026-05,Data Analysis,3,30,10.0
2026-05,Express.js,3,30,10.0
2026-05,Terraform,3,30,10.0
2026-05,Data Visualization,2,30,6.67
2026-05,Excel,2,30,6.67
2026-05,MongoDB,2,30,6.67
2026-05,PowerShell,2,30,6.67
2026-05,Angular,1,30,3.33
2026-05,GCP,1,30,3.33
2026-05,Machine Learning,1,30,3.33
2026-05,NumPy,1,30,3.33
2026-06,JavaScript,12,30,40.0
2026-06,PostgreSQL,11,30,36.67
2026-06,React,11,30,36.67
2026-06,SQL,11,30,36.67
2026-06,Git,10,30,33.33
2026-06,AWS,9,30,30.0
2026-06,REST API,9,30,30.0
2026-06,Java,8,30,26.67
2026-06,Spring Boot,8,30,26.67
2026-06,Node.js,7,30,23.33
2026-06,CSS,6,30,20.0
2026-06,Data Visualization,6,30,20.0
2026-06,Docker,6,30,20.0
2026-06,Excel,6,30,20.0
2026-06,HTML,6,30,20.0
2026-06,TypeScript,6,30,20.0
2026-06,Pandas,5,30,16.67
2026-06,Power BI,5,30,16.67
2026-06,Python,5,30,16.67
2026-06,Tailwind CSS,4,30,13.33
2026-06,GraphQL,3,30,10.0
2026-06,Jenkins,3,30,10.0
2026-06,Azure,2,30,6.67
2026-06,CI/CD,2,30,6.67
2026-06,Data Analysis,2,30,6.67
2026-06,FastAPI,2,30,6.67
2026-06,Linux,2,30,6.67
2026-06,Angular,1,30,3.33
2026-06,Express.js,1,30,3.33
2026-06,Kubernetes,1,30,3.33
2026-06,MongoDB,1,30,3.33
2026-06,Terraform,1,30,3.33
2026-07,Git,13,30,43.33
2026-07,Python,11,30,36.67
2026-07,JavaScript,9,30,30.0
2026-07,AWS,8,30,26.67
2026-07,React,8,30,26.67
