skill,previous_job_count,recent_job_count,previous_demand_percentage,recent_demand_percentage,change_percentage_points,growth_percentage,trend
REST API,3,16,11.11,34.04,22.93,206.38,Emerging
React,4,15,14.81,31.91,17.1,115.43,Emerging
Node.js,3,13,11.11,27.66,16.55,148.94,Emerging
JavaScript,6,17,22.22,36.17,13.95,62.77,Emerging
SQL,7,18,25.93,38.3,12.37,47.72,Emerging
Spring Boot,6,14,22.22,29.79,7.57,34.04,Stable
Angular,0,3,0.0,6.38,6.38,,Stable
Machine Learning,0,3,0.0,6.38,6.38,,Stable
Natural Language Processing,0,3,0.0,6.38,6.38,,Stable
Git,11,22,40.74,46.81,6.07,14.89,Stable
Jenkins,5,11,18.52,23.4,4.89,26.38,Stable
TypeScript,4,9,14.81,19.15,4.33,29.26,Stable
Deep Learning,0,2,0.0,4.26,4.26,,Stable
FastAPI,0,2,0.0,4.26,4.26,,Stable
Docker,6,12,22.22,25.53,3.31,14.89,Stable
AWS,13,24,48.15,51.06,2.92,6.06,Stable
NumPy,1,3,3.7,6.38,2.68,72.34,Stable
Java,8,15,29.63,31.91,2.29,7.71,Stable
PostgreSQL,7,13,25.93,27.66,1.73,6.69,Stable
PowerShell,3,6,11.11,12.77,1.65,14.89,Stable
Express.js,2,4,7.41,8.51,1.1,14.89,Stable
Tailwind CSS,2,4,7.41,8.51,1.1,14.89,Stable
Kubernetes,5,9,18.52,19.15,0.63,3.4,Stable
CSS,4,7,14.81,14.89,0.08,0.53,Stable
HTML,4,7,14.81,14.89,0.08,0.53,Stable
Linux,6,10,22.22,21.28,-0.95,-4.26,Stable
GCP,1,1,3.7,2.13,-1.58,-42.55,Stable
Data Analysis,3,4,11.11,8.51,-2.6,-23.4,Stable
Azure,2,2,7.41,4.26,-3.15,-42.55,Stable
MongoDB,2,2,7.41,4.26,-3.15,-42.55,Stable
GraphQL,1,0,3.7,0.0,-3.7,-100.0,Stable
CI/CD,4,4,14.81,8.51,-6.3,-42.55,Stable
Pandas,4,3,14.81,6.38,-8.43,-56.91,Stable
Terraform,3,1,11.11,2.13,-8.98,-80.85,Stable
Power BI,4,2,14.81,4.26,-10.56,-71.28,Declining
Data Visualization,6,2,22.22,4.26,-17.97,-80.85,Declining
Excel,6,2,22.22,4.26,-17.97,-80.85,Declining
Python,8,4,29.63,8.51,-21.12,-71.28,Declining
